,Seu ingresso no curso de graduação se deu por meio de políticas de ação afirmativa ou inclusão social?,"Qual a renda total de sua família, incluindo seus rendimentos?",Quem lhe deu maior incentivo para cursar a graduação?,Alguém em sua família concluiu um curso superior?,Até que etapa de escolarização sua mãe concluiu?,Até que etapa de escolarização seu pai concluiu?,qtd
747,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
748,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
749,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
750,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
751,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Médio,1
513,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Pós-graduação,1
734,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outras pessoas,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
527,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
756,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
528,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
536,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
535,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
717,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino Superior - Graduação,Nenhuma,1
533,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
532,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
721,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
722,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
723,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
724,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
725,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
530,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
529,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Não,Nenhuma,Nenhuma,1
728,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino médio,Pós-graduação,1
729,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Nenhuma,Nenhuma,1
730,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Pós-graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
753,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Outros membros da família que não os pais,Sim,Pós-graduação,Pós-graduação,1
757,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
537,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
482,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
784,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Professores,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
785,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Professores,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
786,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Professores,Sim,Ensino Superior - Graduação,Ensino Médio,1
787,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Professores,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
788,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Professores,Sim,Ensino médio,Ensino Médio,1
479,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
791,Sim,"Acima de 30 salários mínimos (mais de R$ 28110,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
478,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
793,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
477,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
476,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Professores,Sim,Ensino médio,Ensino Superior - Graduação,1
796,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
474,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Professores,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
473,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Professores,Sim,Ensino Superior - Graduação,Ensino Médio,1
800,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino médio,Nenhuma,1
783,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
483,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
507,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino Superior - Graduação,Nenhuma,1
484,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
759,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Não,Nenhuma,Nenhuma,1
760,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Não,Pós-graduação,Ensino Médio,1
500,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
498,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
767,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
494,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
769,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
493,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Líder ou representante religioso,Não,Nenhuma,Nenhuma,1
492,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Pós-graduação,Ensino Médio,1
773,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Pós-graduação,1
490,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
489,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino médio,Pós-graduação,1
488,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino médio,Ensino Superior - Graduação,1
778,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
485,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
714,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Não,Nenhuma,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
712,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
802,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Nenhuma,Ensino Médio,1
643,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,1
645,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
613,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino Superior - Graduação,Ensino Médio,1
612,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
611,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Não,Ensino médio,Ensino Superior - Graduação,1
610,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Não,Ensino médio,Ensino Médio,1
609,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
653,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Pós-graduação,Nenhuma,1
654,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Pós-graduação,Pós-graduação,1
655,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outras pessoas,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
657,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
658,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outras pessoas,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
659,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
660,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Médio,1
661,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
602,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Nenhuma,Nenhuma,1
644,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
641,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Ensino Superior - Graduação,Pós-graduação,1
600,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1,Não,"Acima de 30 salários mínimos (mais de R$ 28110,00).",Ninguém,Não,Ensino médio,Ensino Médio,1
625,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Não,Ensino médio,Ensino Médio,1
626,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
627,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
628,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
629,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
630,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Ensino médio,Ensino Médio,1
631,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Pós-graduação,Ensino Médio,1
632,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Colegas/Amigos,Sim,Pós-graduação,Nenhuma,1
622,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Nenhuma,Nenhuma,1
619,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
635,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
636,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
618,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
638,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
617,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
601,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Nenhuma,Ensino Superior - Graduação,1
665,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
711,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Líder ou representante religioso,Sim,Ensino Superior - Graduação,Ensino Médio,1
690,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
547,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Não,Nenhuma,Nenhuma,1
696,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino médio,Nenhuma,1
546,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Não,Ensino médio,Nenhuma,1
545,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Médio,1
544,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
543,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
542,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
703,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Professores,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
704,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Professores,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
540,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Pós-graduação,Ensino Superior - Graduação,1
706,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Colegas/Amigos,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
707,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
708,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Colegas/Amigos,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
539,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Nenhuma,Nenhuma,1
538,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino médio,Ensino Superior - Graduação,1
549,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,1
554,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
587,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,1
555,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
667,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Superior - Graduação,1
668,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
669,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Sim,Nenhuma,Nenhuma,1
670,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Médio,1
576,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Nenhuma,Ensino Superior - Graduação,1
575,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino médio,Nenhuma,1
674,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
567,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
564,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino Superior - Graduação,Ensino Médio,1
562,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
560,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino médio,Nenhuma,1
683,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
556,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
685,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
686,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
801,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
465,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
976,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
341,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Pós-graduação,Nenhuma,1
337,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino médio,Pós-graduação,1
336,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino médio,Nenhuma,1
334,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
332,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
331,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
327,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,1
326,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
323,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Pós-graduação,1
